customer_id,tenure_months,contract_type,monthly_charges,support_calls,payment_delay_days,is_senior_citizen,has_addon_services,churned
CUST_00001,22,Two year,1207.16,1,15,0,0,0
CUST_00002,56,One year,2255.81,5,15,1,1,0
CUST_00003,28,Month-to-month,1525.0,1,8,0,0,1
CUST_00004,44,Month-to-month,2029.55,2,6,1,1,0
CUST_00005,34,Month-to-month,875.33,3,13,0,0,0
CUST_00006,51,One year,1759.15,5,9,0,1,0
CUST_00007,25,One year,1099.26,3,3,0,0,1
CUST_00008,7,Month-to-month,2512.48,1,5,0,0,1
CUST_00009,21,Month-to-month,1540.54,1,12,0,0,1
CUST_00010,45,Month-to-month,436.37,1,29,0,1,0
CUST_00011,45,Month-to-month,978.73,4,26,0,1,0
CUST_00012,70,Month-to-month,1518.46,2,7,1,1,1
CUST_00013,18,Month-to-month,1556.11,1,5,0,1,0
CUST_00014,31,Month-to-month,949.26,1,6,0,1,1
CUST_00015,68,Two year,1278.69,0,13,0,0,0
CUST_00016,8,Month-to-month,2757.98,1,13,0,0,1
CUST_00017,50,Month-to-month,560.24,1,12,0,0,1
CUST_00018,69,Month-to-month,804.54,3,19,0,1,1
CUST_00019,66,Month-to-month,2097.09,0,25,0,0,0
CUST_00020,48,One year,857.39,0,6,0,1,0
CUST_00021,64,Month-to-month,2602.2,4,14,0,1,1
CUST_00022,15,Two year,2317.1,3,16,0,1,1
CUST_00023,54,Month-to-month,1055.93,4,22,0,1,1
CUST_00024,48,Month-to-month,2346.61,2,27,1,1,0
CUST_00025,36,Two year,1077.11,0,10,0,1,0
CUST_00026,71,Month-to-month,1516.57,2,13,1,1,1
CUST_00027,60,Month-to-month,1602.58,3,2,0,1,0
CUST_00028,15,Two year,2119.64,3,20,0,1,1
CUST_00029,70,Month-to-month,1679.89,1,28,0,0,0
CUST_00030,61,One year,2700.86,1,28,0,0,1
CUST_00031,27,Two year,2745.09,0,27,0,0,0
CUST_00032,50,Month-to-month,1150.82,2,28,1,0,0
CUST_00033,56,Two year,1559.53,4,10,0,0,0
CUST_00034,16,Month-to-month,2327.96,0,3,0,0,1
CUST_00035,19,Month-to-month,1440.22,2,8,0,0,1
CUST_00036,14,Month-to-month,1312.99,1,20,1,0,1
CUST_00037,33,Month-to-month,880.23,3,26,1,1,1
CUST_00038,68,Month-to-month,1063.03,0,10,1,1,0
CUST_00039,28,Two year,2341.9,0,23,0,1,0
CUST_00040,25,Two year,2054.5,0,6,0,0,0
CUST_00041,66,One year,484.62,2,12,0,0,0
CUST_00042,32,Two year,2267.78,2,21,0,0,1
CUST_00043,5,Month-to-month,2502.64,1,25,0,0,1
CUST_00044,47,One year,1450.23,0,29,0,0,1
CUST_00045,55,Two year,1001.37,1,0,0,0,0
CUST_00046,32,Month-to-month,2140.33,1,21,0,0,1
CUST_00047,68,One year,2176.48,3,2,0,1,0
CUST_00048,1,Two year,528.31,2,4,1,0,1
CUST_00049,62,Month-to-month,860.83,2,26,0,1,1
CUST_00050,19,Two year,2262.59,1,12,0,0,1
CUST_00051,57,Two year,2548.13,1,16,0,0,0
CUST_00052,34,Two year,1075.96,1,5,0,1,0
CUST_00053,47,One year,2512.53,3,14,0,1,1
CUST_00054,55,Month-to-month,1863.46,4,28,1,1,1
CUST_00055,64,Two year,1700.01,0,7,0,1,0
CUST_00056,44,One year,1812.8,2,23,0,1,1
CUST_00057,46,Month-to-month,1538.01,1,23,0,1,1
CUST_00058,31,Month-to-month,1117.28,2,9,0,0,1
CUST_00059,4,Month-to-month,2348.91,1,23,0,1,1
CUST_00060,14,Month-to-month,2282.56,1,27,0,1,1
CUST_00061,9,Month-to-month,2324.83,1,29,0,0,1
