customer_id,tenure_months,contract_type,monthly_charges,support_calls,payment_delay_days,is_senior_citizen,has_addon_services,churned,avg_monthly_spend_per_tenure,high_support_contact,is_month_to_month,churn_risk_score
CUST_00001,22,Two year,1207.16,1,15,0,0,0,54.870909090909095,0,0,0.376
CUST_00002,56,One year,2255.81,5,15,1,1,0,40.28232142857143,1,0,0.35
CUST_00003,28,Month-to-month,1525.0,1,8,0,0,1,54.464285714285715,0,1,0.592
CUST_00004,44,Month-to-month,2029.55,2,6,1,1,0,46.12613636363636,0,1,0.358
CUST_00005,34,Month-to-month,875.33,3,13,0,0,0,25.745,1,1,0.498
CUST_00006,51,One year,1759.15,5,9,0,1,0,34.49313725490196,1,0,0.338
CUST_00007,25,One year,1099.26,3,3,0,0,1,43.9704,1,0,0.527
CUST_00008,7,Month-to-month,2512.48,1,5,0,0,1,358.92571428571426,0,1,0.757
CUST_00009,21,Month-to-month,1540.54,1,12,0,0,1,73.35904761904762,0,1,0.67
CUST_00010,45,Month-to-month,436.37,1,29,0,1,0,9.697111111111111,0,1,0.234
CUST_00011,45,Month-to-month,978.73,4,26,0,1,0,21.749555555555556,1,1,0.49
CUST_00012,70,Month-to-month,1518.46,2,7,1,1,1,21.692285714285713,0,1,0.453
CUST_00013,18,Month-to-month,1556.11,1,5,0,1,0,86.45055555555555,0,1,0.515
CUST_00014,31,Month-to-month,949.26,1,6,0,1,1,30.621290322580645,0,1,0.522
CUST_00015,68,Two year,1278.69,0,13,0,0,0,18.804264705882353,0,0,0.154
CUST_00016,8,Month-to-month,2757.98,1,13,0,0,1,344.7475,0,1,0.794
CUST_00017,50,Month-to-month,560.24,1,12,0,0,1,11.2048,0,1,0.33
CUST_00018,69,Month-to-month,804.54,3,19,0,1,1,11.66,1,1,0.479
CUST_00019,66,Month-to-month,2097.09,0,25,0,0,0,31.774090909090912,0,1,0.505
CUST_00020,48,One year,857.39,0,6,0,1,0,17.862291666666668,0,0,0.065
CUST_00021,64,Month-to-month,2602.2,4,14,0,1,1,40.659375,1,1,0.782
CUST_00022,15,Two year,2317.1,3,16,0,1,1,154.47333333333333,1,0,0.576
CUST_00023,54,Month-to-month,1055.93,4,22,0,1,1,19.55425925925926,1,1,0.69
CUST_00024,48,Month-to-month,2346.61,2,27,1,1,0,48.887708333333336,0,1,0.498
CUST_00025,36,Two year,1077.11,0,10,0,1,0,29.91972222222222,0,0,0.122
CUST_00026,71,Month-to-month,1516.57,2,13,1,1,1,21.360140845070422,0,1,0.489
CUST_00027,60,Month-to-month,1602.58,3,2,0,1,0,26.709666666666667,1,1,0.279
CUST_00028,15,Two year,2119.64,3,20,0,1,1,141.3093333333333,1,0,0.571
CUST_00029,70,Month-to-month,1679.89,1,28,0,0,0,23.998428571428573,0,1,0.47
CUST_00030,61,One year,2700.86,1,28,0,0,1,44.276393442622954,0,0,0.499
CUST_00031,27,Two year,2745.09,0,27,0,0,0,101.67,0,0,0.453
CUST_00032,50,Month-to-month,1150.82,2,28,1,0,0,23.016399999999997,0,1,0.561
CUST_00033,56,Two year,1559.53,4,10,0,0,0,27.84875,1,0,0.279
CUST_00034,16,Month-to-month,2327.96,0,3,0,0,1,145.4975,0,1,0.628
CUST_00035,19,Month-to-month,1440.22,2,8,0,0,1,75.80105263157895,0,1,0.697
CUST_00036,14,Month-to-month,1312.99,1,20,1,0,1,93.785,0,1,0.765
CUST_00037,33,Month-to-month,880.23,3,26,1,1,1,26.673636363636366,1,1,0.617
CUST_00038,68,Month-to-month,1063.03,0,10,1,1,0,15.632794117647059,0,1,0.224
CUST_00039,28,Two year,2341.9,0,23,0,1,0,83.63928571428572,0,0,0.454
CUST_00040,25,Two year,2054.5,0,6,0,0,0,82.18,0,0,0.309
CUST_00041,66,One year,484.62,2,12,0,0,0,7.342727272727273,0,0,0.081
CUST_00042,32,Two year,2267.78,2,21,0,0,1,70.868125,0,0,0.627
CUST_00043,5,Month-to-month,2502.64,1,25,0,0,1,500.52799999999996,0,1,0.87
CUST_00044,47,One year,1450.23,0,29,0,0,1,30.85595744680851,0,0,0.418
CUST_00045,55,Two year,1001.37,1,0,0,0,0,18.206727272727274,0,0,0.13
CUST_00046,32,Month-to-month,2140.33,1,21,0,0,1,66.8853125,0,1,0.678
CUST_00047,68,One year,2176.48,3,2,0,1,0,32.00705882352941,1,0,0.259
CUST_00048,1,Two year,528.31,2,4,1,0,1,528.31,0,0,0.574
CUST_00049,62,Month-to-month,860.83,2,26,0,1,1,13.884354838709678,0,1,0.47
CUST_00050,19,Two year,2262.59,1,12,0,0,1,119.08368421052633,0,0,0.519
CUST_00051,57,Two year,2548.13,1,16,0,0,0,44.7040350877193,0,0,0.316
CUST_00052,34,Two year,1075.96,1,5,0,1,0,31.64588235294118,0,0,0.114
CUST_00053,47,One year,2512.53,3,14,0,1,1,53.45808510638298,1,0,0.492
